[Engine] 4x4x4 block lattice x 4 branes/block = 256 patches, 4096 qubits | interfaces: 192 Z-intra, 48 Z-inter, 384 XY | 1 GPUs (20 workers/GPU), 100 steps
Device #0, Building JIT.
Default platform: NVIDIA CUDA
[....]

Step 000 | E: -12288.0000 (Zi +0.000 / Ze +0.000 / XY +0.000) | Lat(Trot/Tomo):   2.3/  2.5ms | Fid: 1.00000 | 12.04s
Step 001 | E: -12189.6938 (Zi -3.724 / Ze -0.465 / XY -0.931) | Lat(Trot/Tomo):   8.5/  5.3ms | Fid: 1.00000 | 0.24s
Step 002 | E: -12091.3915 (Zi -7.447 / Ze -0.931 / XY -1.862) | Lat(Trot/Tomo):   3.7/  3.3ms | Fid: 1.00000 | 0.26s
Step 003 | E: -11993.0820 (Zi -11.171 / Ze -1.396 / XY -2.793) | Lat(Trot/Tomo):  16.0/ 23.8ms | Fid: 1.00000 | 0.27s
Step 004 | E: -11894.7183 (Zi -14.895 / Ze -1.862 / XY -3.724) | Lat(Trot/Tomo):   7.5/  6.2ms | Fid: 1.00000 | 0.26s
Step 005 | E: -11796.4076 (Zi -18.618 / Ze -2.327 / XY -4.655) | Lat(Trot/Tomo):  19.0/ 33.8ms | Fid: 1.00000 | 0.28s
Step 006 | E: -11698.0986 (Zi -22.342 / Ze -2.793 / XY -5.585) | Lat(Trot/Tomo):  10.9/ 10.8ms | Fid: 1.00000 | 0.27s
Step 007 | E: -11599.8097 (Zi -26.065 / Ze -3.258 / XY -6.516) | Lat(Trot/Tomo):  16.7/ 21.8ms | Fid: 1.00000 | 0.26s
Step 008 | E: -11501.4361 (Zi -29.789 / Ze -3.724 / XY -7.447) | Lat(Trot/Tomo):  13.9/ 19.7ms | Fid: 1.00000 | 0.28s
Step 009 | E: -11403.1495 (Zi -33.513 / Ze -4.189 / XY -8.378) | Lat(Trot/Tomo):   6.2/  7.5ms | Fid: 1.00000 | 0.27s
Step 010 | E: -11304.8531 (Zi -37.236 / Ze -4.655 / XY -9.309) | Lat(Trot/Tomo):  10.9/ 21.8ms | Fid: 1.00000 | 0.27s
Step 011 | E: -11206.5150 (Zi -40.960 / Ze -5.120 / XY -10.240) | Lat(Trot/Tomo):   4.9/ 11.4ms | Fid: 1.00000 | 0.26s
Step 012 | E: -11108.2220 (Zi -44.684 / Ze -5.585 / XY -11.171) | Lat(Trot/Tomo):  13.9/ 15.7ms | Fid: 1.00000 | 0.26s
Step 013 | E: -11009.9283 (Zi -48.407 / Ze -6.051 / XY -12.102) | Lat(Trot/Tomo):   4.9/ 18.8ms | Fid: 1.00000 | 0.26s
Step 014 | E: -10911.6380 (Zi -52.131 / Ze -6.516 / XY -13.033) | Lat(Trot/Tomo):   5.0/  7.7ms | Fid: 1.00000 | 0.25s
Step 015 | E: -10813.3856 (Zi -55.855 / Ze -6.982 / XY -13.964) | Lat(Trot/Tomo):   4.4/  2.9ms | Fid: 1.00000 | 0.26s
Step 016 | E: -10715.0684 (Zi -59.578 / Ze -7.447 / XY -14.895) | Lat(Trot/Tomo):   3.7/  5.2ms | Fid: 1.00000 | 0.26s
Step 017 | E: -10616.7231 (Zi -63.302 / Ze -7.913 / XY -15.825) | Lat(Trot/Tomo):   3.6/  2.9ms | Fid: 1.00000 | 0.25s
Step 018 | E: -10518.4834 (Zi -67.026 / Ze -8.378 / XY -16.756) | Lat(Trot/Tomo):   5.3/  4.8ms | Fid: 1.00000 | 0.26s
Step 019 | E: -10420.2040 (Zi -70.749 / Ze -8.844 / XY -17.687) | Lat(Trot/Tomo):   2.9/  2.7ms | Fid: 1.00000 | 0.26s
Step 020 | E: -10321.8599 (Zi -74.473 / Ze -9.309 / XY -18.618) | Lat(Trot/Tomo):   7.5/  3.0ms | Fid: 1.00000 | 0.26s
Step 021 | E: -10223.2960 (Zi -78.196 / Ze -9.775 / XY -19.549) | Lat(Trot/Tomo):   3.2/  2.5ms | Fid: 1.00000 | 0.26s
Step 022 | E: -10124.9325 (Zi -81.920 / Ze -10.240 / XY -20.480) | Lat(Trot/Tomo):   3.7/  3.0ms | Fid: 1.00000 | 0.26s
Step 023 | E: -10026.6478 (Zi -85.644 / Ze -10.705 / XY -21.411) | Lat(Trot/Tomo):   3.9/  2.9ms | Fid: 1.00000 | 0.25s
